index,Drug_Name,Reason,Description,Treatment
1332, Cyclobenzaprine (10 mg),Muscle Spasms,Central acting muscle relaxant for muscle spasm treatment,Take cyclobenzaprine 10 mg three times daily for muscle spasm treatment<br> avoid driving and operating machinery<br> use caution in elderly patients.
1333, Baclofen (10 mg),Muscle Spasms,Central acting muscle relaxant for spasticity management,Take baclofen 10 mg three times daily for spasticity management<br> monitor for sedation and dizziness<br> avoid abrupt discontinuation.
1334, Beclomethasone Nasal Spray,Nasal Polyps,Intranasal corticosteroid for nasal polyps management,Use beclomethasone nasal spray daily for nasal polyps management. Administer as directed<br> avoid triggers and practice nasal hygiene.
1335, Oral Corticosteroids,Nasal Polyps,Systemic corticosteroid therapy for severe nasal polyps,Take oral corticosteroids for severe nasal polyps. Taper dosage based on clinical response<br> avoid triggers and practice nasal hygiene.
1336, Saline Nasal Irrigation,Nasal Polyps,Nasal saline irrigation for nasal polyps relief,Perform nasal saline irrigation regularly for nasal polyps relief. Administer as directed<br> practice good nasal hygiene and avoid irritants.
1337, Acetaminophen (500 mg),Neck Pain,Analgesic for neck pain relief,Take acetaminophen 500 mg for mild to moderate neck pain relief<br> apply heat or cold packs to neck area<br> practice gentle stretching exercises<br> maintain good posture and ergonomic workspace.
1338, Ibuprofen Gel,Neck Pain,Topical NSAID gel for localized neck pain relief,Apply ibuprofen gel directly to neck area for targeted pain relief<br> avoid excessive neck movements<br> use ergonomic pillows and supports<br> limit screen time to reduce strain.
1339, Neck Brace,Neck Pain,Supportive neck brace for immobilization and stabilization,Use a neck brace to limit movement and provide support for neck pain<br> wear as directed by healthcare provider<br> perform gentle range of motion exercises as pain allows<br> avoid prolonged use.
1340, Neck Exercises,Neck Pain,Strengthening and stretching exercises for neck pain,Perform gentle neck exercises to improve mobility and strengthen neck muscles<br> avoid sudden movements or heavy lifting<br> maintain proper posture throughout the day.
1341, Cold Compress,Neck Pain,Application of cold therapy for neck pain relief,Apply cold compress to neck area for pain relief<br> use for 15-20 minutes at a time<br> repeat as needed.
1342, Neck Stretches,Neck Pain,Gentle stretches to relieve neck tension,Perform neck stretches to improve range of motion and relieve neck pain<br> avoid sudden movements<br> hold each stretch for 15-30 seconds.
1343, Topical Pain Relief Gel,Neck Pain,Topical analgesic gel for localized neck pain,Apply topical pain relief gel to neck area for temporary pain relief<br> avoid contact with eyes or mucous membranes<br> wash hands after application.
1344, Physical Therapy,Neck Pain,Structured exercises and manual therapy for neck pain,Undergo physical therapy sessions for neck pain management<br> follow therapist's instructions for exercises and posture correction.
1345, Spironolactone (25 mg),Nephrotic Syndrome,Aldosterone antagonist for nephrotic syndrome treatment,Take spironolactone 25 mg daily for nephrotic syndrome treatment<br> monitor potassium levels and signs of hyperkalemia<br> avoid excessive potassium intake.
1346, Spironolactone (25 mg),Nephrotic Syndrome,Aldosterone antagonist for nephrotic syndrome treatment,Take spironolactone 25 mg daily for nephrotic syndrome treatment<br> monitor potassium levels and signs of hyperkalemia<br> avoid excessive potassium intake.
1347, Gabapentin (300 mg),Neuropathic Pain (e.g. Diabetic Neuropathy),Anticonvulsant for neuropathic pain relief,Take gabapentin 300 mg three times daily for neuropathic pain relief (e.g. diabetic neuropathy)<br> monitor for dizziness and drowsiness<br> avoid abrupt discontinuation.
1348, Pregabalin (75 mg),Neuropathic Pain (e.g. Postherpetic Neuralgia),Gabapentinoid for neuropathic pain management,Take pregabalin 75 mg twice daily for neuropathic pain relief (e.g. postherpetic neuralgia)<br> monitor for weight gain and peripheral edema<br> avoid alcohol.
1349, Amitriptyline (25 mg),Neuropathic Pain (e.g. Trigeminal Neuralgia),Tricyclic antidepressant for neuropathic pain modulation,Take amitriptyline 25 mg at bedtime for neuropathic pain modulation (e.g. trigeminal neuralgia)<br> monitor for sedation and anticholinergic effects<br> use caution in elderly.
1350, Fluocinolone Acetonide (0.01% ophthalmic implant),Non-Infectious Uveitis,Sustained-release corticosteroid implant for non-infectious uveitis,Administer fluocinolone acetonide 0.01% ophthalmic implant once for sustained-release corticosteroid therapy in non-infectious uveitis<br> monitor for intraocular pressure.
1351, Lactulose (10 g),Non-alcoholic Fatty Liver Disease (NAFLD),Ammonia-lowering agent for hepatic encephalopathy prevention,Take lactulose 10 g daily for hepatic encephalopathy prevention in non-alcoholic fatty liver disease (NAFLD)<br> monitor mental status and bowel function<br> adjust dosage to achieve 2-3 soft stools per day.
1352, Vitamin E (400 IU),Non-alcoholic Fatty Liver Disease (NAFLD),Antioxidant for NAFLD management,Take vitamin E 400 IU daily for non-alcoholic fatty liver disease (NAFLD) management<br> monitor liver function and lipid profile<br> discuss benefits and risks with healthcare provider.
1353, Omega-3 Fatty Acids (1000 mg),Non-alcoholic Fatty Liver Disease (NAFLD),Fish oil supplement for NAFLD management,Take omega-3 fatty acids 1000 mg daily for non-alcoholic fatty liver disease (NAFLD) management<br> monitor liver function and lipid profile<br> maintain healthy diet and exercise.
1354, Lactulose (10 g),Non-alcoholic Fatty Liver Disease (NAFLD),Ammonia-lowering agent for hepatic encephalopathy prevention,Take lactulose 10 g daily for hepatic encephalopathy prevention in non-alcoholic fatty liver disease (NAFLD)<br> monitor mental status and bowel function<br> adjust dosage to achieve 2-3 soft stools per day.
1355, Vitamin E (400 IU),Non-alcoholic Fatty Liver Disease (NAFLD),Antioxidant for NAFLD management,Take vitamin E 400 IU daily for non-alcoholic fatty liver disease (NAFLD) management<br> monitor liver function and lipid profile<br> discuss benefits and risks with healthcare provider.
1356, Omega-3 Fatty Acids (1000 mg),Non-alcoholic Fatty Liver Disease (NAFLD),Fish oil supplement for NAFLD management,Take omega-3 fatty acids 1000 mg daily for non-alcoholic fatty liver disease (NAFLD) management<br> monitor liver function and lipid profile<br> maintain healthy diet and exercise.
1357, L-carnitine (500 mg),Non-alcoholic Steatohepatitis (NASH),Amino acid derivative for NASH management,Take L-carnitine 500 mg twice daily for non-alcoholic steatohepatitis (NASH) management<br> monitor liver function and lipid profile<br> maintain healthy diet and exercise.
1358, Vitamin D (1000 IU),Non-alcoholic Steatohepatitis (NASH),Vitamin supplement for NASH management,Take vitamin D 1000 IU daily for non-alcoholic steatohepatitis (NASH) management<br> monitor liver function and bone health<br> discuss benefits and risks with healthcare provider.
1359, Timolol (0.5% gel-forming solution),Ocular Hypertension,Non-selective beta-blocker for ocular hypertension management,Instill timolol 0.5% gel-forming solution twice daily for ocular hypertension management<br> monitor for systemic absorption and adverse effects.
1360, Dorzolamide (2% ophthalmic solution),Ocular Hypertension,Carbonic anhydrase inhibitor for intraocular pressure reduction,Instill dorzolamide 2% ophthalmic solution twice daily for intraocular pressure reduction in ocular hypertension<br> monitor for ocular adverse effects.
1361, Travoprost (0.004% ophthalmic solution),Ocular Hypertension,Prostaglandin analog for intraocular pressure reduction,Instill travoprost 0.004% ophthalmic solution once daily for intraocular pressure reduction in ocular hypertension<br> monitor for ocular adverse effects.
1362, Fluorometholone (0.1% ophthalmic suspension),Ocular Inflammation,Corticosteroid for ocular inflammation management,Instill fluorometholone 0.1% ophthalmic suspension four times daily for ocular inflammation management<br> taper dosage based on clinical response.
1363, Fluorometholone (0.1% ophthalmic suspension),Ocular Inflammation,Corticosteroid for ocular inflammation management,Instill fluorometholone 0.1% ophthalmic suspension four times daily for ocular inflammation management<br> taper dosage based on clinical response.
1364, Fluorometholone (0.1% ophthalmic suspension),Ocular Inflammation,Corticosteroid for ocular inflammation management,Instill fluorometholone 0.1% ophthalmic suspension four times daily for ocular inflammation management<br> taper dosage based on clinical response.
1365, Methazolamide (50 mg),Open-Angle Glaucoma,Carbonic anhydrase inhibitor for open-angle glaucoma management,Take methazolamide 50 mg twice daily for open-angle glaucoma management<br> monitor for systemic adverse effects.
1366, Trihexyphenidyl (2 mg),Parkinson's Disease,Anticholinergic for Parkinson's disease symptom management,Take trihexyphenidyl 2 mg three times daily for Parkinson's disease symptom management<br> monitor for anticholinergic side effects and drug interactions<br> adjust dosage based on response.
1367, Levodopa or Carbidopa (100 mg or 25 mg),Parkinson's Disease,Dopamine precursor and decarboxylase inhibitor for Parkinson's disease treatment,Take levodopa<br>carbidopa (100 mg<br>25 mg) three times daily for Parkinson's disease treatment<br> monitor for motor fluctuations and dyskinesias<br> adjust dosage based on symptom response.
1368, Cimetidine (200 mg),Peptic Ulcer Disease (PUD) with Renal Impairment,H2 receptor antagonist for PUD with renal impairment,Take cimetidine 200 mg twice daily for peptic ulcer disease (PUD) with renal impairment<br> monitor renal function and signs of toxicity<br> avoid prolonged use.
1369, Pantoprazole (40 mg),Peptic Ulcer Disease (PUD) with Renal Impairment,Proton pump inhibitor for PUD with renal impairment,Take pantoprazole 40 mg daily for peptic ulcer disease (PUD) with renal impairment<br> monitor renal function and signs of toxicity<br> avoid abrupt discontinuation.
1370, Amoxicillin (500 mg),Pneumonia,Antibiotic for bacterial pneumonia treatment,Take amoxicillin 500 mg three times daily for bacterial pneumonia treatment<br> complete full course of antibiotics<br> rest and stay hydrated.
1371, Azithromycin (250 mg),Pneumonia,Macrolide antibiotic for atypical pneumonia treatment,Take azithromycin 250 mg once daily for atypical pneumonia treatment<br> monitor for cardiac adverse effects.
1372, Levofloxacin (500 mg),Pneumonia,Fluoroquinolone antibiotic for pneumonia treatment,Take levofloxacin 500 mg once daily for pneumonia treatment<br> monitor for tendonitis and tendon rupture<br> avoid in children and certain populations.
1373, Clarithromycin (500 mg),Pneumonia,Macrolide antibiotic for community-acquired pneumonia treatment,Take clarithromycin 500 mg twice daily for community-acquired pneumonia treatment<br> monitor for gastrointestinal side effects.
1374, Tolvaptan (15 mg),Polycystic Kidney Disease (PKD),Vasopressin V2 receptor antagonist for PKD treatment,Take tolvaptan 15 mg daily for polycystic kidney disease (PKD) treatment<br> monitor liver function and serum sodium levels<br> avoid grapefruit juice.
1375, Tolvaptan (15 mg),Polycystic Kidney Disease (PKD),Vasopressin V2 receptor antagonist for PKD treatment,Take tolvaptan 15 mg daily for polycystic kidney disease (PKD) treatment<br> monitor liver function and serum sodium levels<br> avoid grapefruit juice.
1376, Metformin (500 mg),Polycystic Ovary Syndrome (PCOS),Oral medication for insulin resistance in PCOS,Take metformin 500 mg with meals to improve insulin sensitivity<br> follow a low-glycemic index diet<br> engage in regular physical activity<br> manage stress levels.
1377, Drospirenone-Ethinyl Estradiol (3 mg-0.03 mg),Polycystic Ovary Syndrome (PCOS),Combined oral contraceptive for PCOS symptom management,Use drospirenone-ethinyl estradiol for menstrual cycle regulation in PCOS<br> maintain regular follow-ups with gynecologist<br> monitor for side effects.
1378, Clomiphene Citrate (50 mg),Polycystic Ovary Syndrome (PCOS),Ovulation-inducing medication for fertility in PCOS,Take clomiphene citrate 50 mg daily for ovulation induction<br> monitor ovarian response<br> engage in timed intercourse or assisted reproductive techniques.
1379, Metformin (500 mg),Polycystic Ovary Syndrome (PCOS),Oral medication for insulin resistance in PCOS,Take metformin 500 mg with meals to improve insulin sensitivity<br> follow a low-glycemic index diet<br> engage in regular physical activity<br> manage stress levels.
1380, Propranolol (20 mg),Portal Hypertension,Beta-blocker for portal hypertension management,Take propranolol 20 mg twice daily for portal hypertension management<br> monitor heart rate and blood pressure<br> avoid abrupt discontinuation.
1381, Nadolol (20 mg),Portal Hypertension,Beta-blocker for portal hypertension management,Take nadolol 20 mg daily for portal hypertension management<br> monitor heart rate and blood pressure<br> avoid abrupt discontinuation.
1382, Isosorbide Mononitrate (20 mg),Portal Hypertension,Nitrate for portal hypertension management,Take isosorbide mononitrate 20 mg daily for portal hypertension management<br> monitor for headache and hypotension<br> avoid sudden withdrawal to prevent rebound effects.
1383, Lactulose (10 g),Portal Hypertension,Ammonia-lowering agent for hepatic encephalopathy prevention,Take lactulose 10 g daily for hepatic encephalopathy prevention in portal hypertension<br> monitor mental status and bowel function<br> adjust dosage to achieve 2-3 soft stools per day.
1384, Lactulose (10 g),Portal Vein Thrombosis,Ammonia-lowering agent for hepatic encephalopathy prevention,Take lactulose 10 g daily for hepatic encephalopathy prevention in portal vein thrombosis<br> monitor mental status and bowel function<br> adjust dosage to achieve 2-3 soft stools per day.
1385, Rifaximin (550 mg),Portal Vein Thrombosis,Non-absorbable antibiotic for hepatic encephalopathy prevention,Take rifaximin 550 mg twice daily for hepatic encephalopathy prevention in portal vein thrombosis<br> monitor for drug resistance and adverse effects<br> avoid concomitant use with drugs that interact with cytochrome P450 enzymes.
1386, Calcium Carbonate with Vitamin D3,Postmenopausal Osteoporosis,Supplement for bone health in postmenopausal women,Take calcium carbonate with vitamin D3 supplement daily for postmenopausal osteoporosis prevention<br> ensure adequate calcium and vitamin D intake<br> perform weight-bearing exercises regularly.
1387, Raloxifene (60 mg),Postmenopausal Osteoporosis,Selective estrogen receptor modulator (SERM) for osteoporosis treatment,Take raloxifene 60 mg daily for postmenopausal osteoporosis treatment<br> monitor for deep vein thrombosis and hot flashes<br> avoid smoking and excessive alcohol intake.
1388, Nepafenac (0.1% ophthalmic suspension),Postoperative Ocular Inflammation,Nonsteroidal anti-inflammatory drug (NSAID) for postoperative ocular inflammation,Instill nepafenac 0.1% ophthalmic suspension three times daily for postoperative ocular inflammation<br> taper dosage based on clinical response.
1389, Fluoxetine (20 mg),Premenstrual Dysphoric Disorder (PMDD),Selective serotonin reuptake inhibitor (SSRI) for PMDD,Take fluoxetine 20 mg daily for premenstrual dysphoric disorder (PMDD) management<br> monitor for mood changes and suicidal thoughts<br> report any unusual symptoms.
1390, Drospirenone-Ethinyl Estradiol (Yaz),Premenstrual Syndrome (PMS),Combined oral contraceptive for PMS management,Take drospirenone-ethinyl estradiol (Yaz) daily for PMS management<br> use to regulate menstrual cycle and reduce symptoms<br> monitor for side effects.
1391, Ursodeoxycholic Acid (300 mg),Primary Biliary Cholangitis (PBC),Bile acid for PBC management,Take ursodeoxycholic acid 300 mg daily for primary biliary cholangitis (PBC) management<br> monitor liver function tests and symptoms improvement<br> avoid abrupt discontinuation.
1392, Obeticholic Acid (5 mg),Primary Biliary Cholangitis (PBC),Farnesoid X receptor agonist for PBC treatment,Take obeticholic acid 5 mg daily for primary biliary cholangitis (PBC) treatment<br> monitor liver function and lipid profile<br> report any new symptoms to healthcare provider.
1393, Rifampin (300 mg),Primary Biliary Cholangitis (PBC),Antibiotic for PBC management,Take rifampin 300 mg daily for primary biliary cholangitis (PBC) management<br> monitor liver enzymes and signs of drug-induced hepatitis<br> avoid concomitant use with other hepatotoxic drugs.
1394, Methotrexate (10 mg),Primary Biliary Cholangitis (PBC),Immunosuppressant for PBC treatment,Take methotrexate 10 mg weekly for primary biliary cholangitis (PBC) treatment<br> monitor liver function and hematologic parameters<br> use folic acid supplementation.
1395, Obeticholic Acid (5 mg),Primary Sclerosing Cholangitis (PSC),Farnesoid X receptor agonist for PSC treatment,Take obeticholic acid 5 mg daily for primary sclerosing cholangitis (PSC) treatment<br> monitor liver function and lipid profile<br> report any new symptoms to healthcare provider.
1396, UDCA (Ursodeoxycholic Acid) (300 mg),Primary Sclerosing Cholangitis (PSC),Bile acid for PSC management,Take UDCA (ursodeoxycholic acid) 300 mg daily for primary sclerosing cholangitis (PSC) management<br> monitor liver function tests and symptoms improvement<br> avoid abrupt discontinuation.
1397, Sildenafil (20 mg),Pulmonary Arterial Hypertension,Phosphodiesterase-5 inhibitor for pulmonary arterial hypertension treatment,Take sildenafil 20 mg three times daily for pulmonary arterial hypertension treatment<br> monitor for cardiovascular effects and drug interactions.
1398, Warfarin (5 mg),Pulmonary Embolism,Anticoagulant for pulmonary embolism prevention,Take warfarin 5 mg daily for pulmonary embolism prevention<br> monitor INR levels and adjust dosage accordingly<br> avoid excessive vitamin K intake.
1399, Rivaroxaban (15 mg),Pulmonary Embolism,Direct oral anticoagulant (DOAC) for pulmonary embolism treatment,Take rivaroxaban 15 mg twice daily for pulmonary embolism treatment<br> monitor renal function and bleeding risk.
1400, Acetylcysteine (600 mg),Pulmonary Fibrosis,Mucolytic agent for pulmonary fibrosis management,Take acetylcysteine 600 mg orally or via nebulization for pulmonary fibrosis management<br> monitor respiratory symptoms and adverse effects.
1401, Bosentan (62.5 mg),Pulmonary Hypertension,Endothelin receptor antagonist for pulmonary hypertension treatment,Take bosentan 62.5 mg twice daily for pulmonary hypertension treatment<br> monitor liver function and hemoglobin levels<br> use contraception due to teratogenic effects.
1402, Inhaled Nitric Oxide (20 ppm),Pulmonary Hypertension,Selective pulmonary vasodilator for pulmonary hypertension treatment,Inhale nitric oxide (20 ppm) for pulmonary hypertension treatment<br> monitor for hypotension and methemoglobinemia<br> use in specialized care settings.
1403, Drug_Name,Reason,Description,Treatment
1404, Amoxicillin-Clavulanate (875<br>125 mg),Respiratory Tract Infection (Bronchitis),Broad-spectrum antibiotic for bronchitis treatment,Take amoxicillin-clavulanate 875<br>125 mg twice daily for bronchitis treatment<br> complete full course of antibiotics<br> use humidifier for airway moisture.
1405, Azithromycin (250 mg),Respiratory Tract Infection (Bronchitis),Macrolide antibiotic for respiratory infection,Take azithromycin 250 mg once daily for respiratory tract infection (bronchitis)<br> rest and stay hydrated<br> avoid exposure to cigarette smoke.
1406, Amoxicillin-Clavulanate (875<br>125 mg),Respiratory Tract Infection (Bronchitis),Broad-spectrum antibiotic for bronchitis treatment,Take amoxicillin-clavulanate 875<br>125 mg twice daily for bronchitis treatment<br> complete full course of antibiotics<br> use humidifier for airway moisture.
1407, Azithromycin (250 mg),Respiratory Tract Infection (Bronchitis),Macrolide antibiotic for respiratory infection,Take azithromycin 250 mg once daily for respiratory tract infection (bronchitis)<br> rest and stay hydrated<br> avoid exposure to cigarette smoke.
1408, Ropinirole (0.25 mg),Restless Legs Syndrome,Dopamine agonist for restless legs syndrome treatment,Take ropinirole 0.25 mg daily for restless legs syndrome treatment<br> monitor for augmentation and impulse control disorders<br> avoid abrupt discontinuation.
1409, Bevacizumab (1.25 mg),Retinal Vein Occlusion,VEGF inhibitor for retinal vein occlusion treatment,Administer bevacizumab 1.25 mg intravitreal injection for retinal vein occlusion treatment<br> monitor for intraocular pressure and endophthalmitis.
1410, Miconazole Cream (2% cream),Ringworm,Topical antifungal treatment for ringworm,Apply miconazole cream 2% to affected areas for ringworm treatment. Use twice daily until resolution of symptoms<br> practice good hygiene and avoid sharing personal items.
1411, Griseofulvin (250 mg tablet),Ringworm,Systemic antifungal treatment for severe or extensive ringworm,Take griseofulvin 250 mg tablet daily for severe or extensive ringworm. Complete full course of treatment as prescribed<br> practice good hygiene and avoid close contact.
1412, Sulfur Shampoo,Scalp Folliculitis,Antibacterial and antifungal shampoo for scalp folliculitis,Use sulfur shampoo twice weekly for scalp folliculitis control<br> lather into scalp and leave on for 5 minutes before rinsing.
1413, Topical Antibiotic Solution,Scalp Folliculitis,Topical antibiotic solution for scalp folliculitis,Apply topical antibiotic solution to affected scalp areas twice daily for scalp folliculitis treatment<br> avoid picking or scratching affected areas.
1414, Sulfur Shampoo,Scalp Folliculitis,Antibacterial and antifungal shampoo for scalp folliculitis,Use sulfur shampoo twice weekly for scalp folliculitis control. Lather into scalp and leave on for 5 minutes before rinsing<br> avoid using harsh hair products.
1415, Topical Antibiotic Solution,Scalp Folliculitis,Topical antibiotic solution for scalp folliculitis,Apply topical antibiotic solution to affected scalp areas twice daily for scalp folliculitis treatment. Avoid picking or scratching affected areas<br> maintain good scalp hygiene.
1416, Clotrimazole Cream (1%),Scalp Fungal Infection,Antifungal cream for scalp fungal infection,Apply clotrimazole cream (1%) to affected scalp areas twice daily for scalp fungal infection treatment<br> maintain good scalp hygiene.
1417, Terbinafine Tablets (250 mg),Scalp Fungal Infection,Systemic antifungal agent for severe scalp fungal infection,Take terbinafine 250 mg daily for severe scalp fungal infection<br> monitor liver function and drug interactions.
1418, Fluconazole (150 mg),Scalp Fungal Infection,Oral antifungal agent for scalp fungal infection,Take fluconazole 150 mg once weekly for scalp fungal infection<br> monitor liver function and drug interactions.
1419, Clotrimazole Cream (1%),Scalp Fungal Infection,Antifungal cream for scalp fungal infection,Apply clotrimazole cream (1%) to affected scalp areas twice daily for scalp fungal infection treatment. Maintain good scalp hygiene<br> avoid sharing hats or hair accessories.
1420, Terbinafine Tablets (250 mg),Scalp Fungal Infection,Systemic antifungal agent for severe scalp fungal infection,Take terbinafine 250 mg daily for severe scalp fungal infection. Monitor liver function and drug interactions<br> complete full course of treatment as prescribed.
1421, Fluconazole (150 mg),Scalp Fungal Infection,Oral antifungal agent for scalp fungal infection,Take fluconazole 150 mg once weekly for scalp fungal infection. Monitor liver function and drug interactions<br> avoid alcohol consumption during treatment.
1422, Clobetasol Propionate (0.05% solution),Scalp Psoriasis,Corticosteroid solution for scalp psoriasis management,Apply clobetasol propionate 0.05% solution to affected scalp areas twice daily for scalp psoriasis management<br> taper dosage based on clinical response.
1423, Coal Tar Shampoo,Scalp Psoriasis,Antipsoriatic shampoo for scalp psoriasis control,Use coal tar shampoo twice weekly for scalp psoriasis control<br> lather into scalp and leave on for 5 minutes before rinsing.
1424, Calcipotriene (0.005% solution),Scalp Psoriasis,Vitamin D analog for scalp psoriasis treatment,Apply calcipotriene 0.005% solution to affected scalp areas twice daily for scalp psoriasis treatment<br> monitor for skin irritation and calcium levels.
1425, Salicylic Acid Shampoo,Scalp Psoriasis,Keratolytic shampoo for scalp psoriasis,Use salicylic acid shampoo twice weekly for scalp psoriasis control<br> lather into scalp and leave on for 5 minutes before rinsing.
1426, Clobetasol Propionate (0.05% solution),Scalp Psoriasis,Corticosteroid solution for scalp psoriasis management,Apply clobetasol propionate 0.05% solution to affected scalp areas twice daily for scalp psoriasis management. Taper dosage based on clinical response<br> avoid prolonged use without medical supervision.
1427, Coal Tar Shampoo,Scalp Psoriasis,Antipsoriatic shampoo for scalp psoriasis control,Use coal tar shampoo twice weekly for scalp psoriasis control. Lather into scalp and leave on for 5 minutes before rinsing<br> protect scalp from direct sunlight.
1428, Calcipotriene (0.005% solution),Scalp Psoriasis,Vitamin D analog for scalp psoriasis treatment,Apply calcipotriene 0.005% solution to affected scalp areas twice daily for scalp psoriasis treatment. Monitor for skin irritation and calcium levels<br> avoid use in pregnancy.
1429, Salicylic Acid Shampoo,Scalp Psoriasis,Keratolytic shampoo for scalp psoriasis,Use salicylic acid shampoo twice weekly for scalp psoriasis control. Lather into scalp and leave on for 5 minutes before rinsing<br> avoid contact with eyes and mucous membranes.
1430, Risperidone (1 mg),Schizophrenia,Atypical antipsychotic for schizophrenia management,Take risperidone 1 mg daily for schizophrenia management<br> monitor for extrapyramidal symptoms<br> avoid sudden discontinuation.
1431, Quetiapine (100 mg),Schizophrenia,Atypical antipsychotic for acute and maintenance therapy,Take quetiapine 100 mg daily for acute and maintenance therapy of schizophrenia<br> monitor for metabolic side effects<br> report signs of neuroleptic malignant syndrome.
1432, Olanzapine (10 mg),Schizophrenia,Atypical antipsychotic for positive and negative symptoms,Take olanzapine 10 mg daily for positive and negative symptoms of schizophrenia<br> monitor weight and glucose levels<br> avoid alcohol and smoking.
1433, Aripiprazole (10 mg),Schizophrenia,Partial dopamine agonist for schizophrenia treatment,Take aripiprazole 10 mg daily for schizophrenia treatment<br> monitor for akathisia and tardive dyskinesia<br> avoid sudden discontinuation.
1434, Permethrin Cream,Scrub Typhus,Topical insecticide for mite-borne scrub typhus,Apply permethrin cream to affected skin areas for mite-borne scrub typhus. Leave on for several hours before washing off<br> wear protective clothing in endemic areas.
1435, Doxycycline (100 mg capsule),Scrub Typhus,Antibiotic treatment for scrub typhus infection,Take doxycycline 100 mg capsule twice daily for scrub typhus treatment. Complete full course of treatment as prescribed<br> use insect repellent to prevent further bites.
1436, Azithromycin (500 mg tablet),Scrub Typhus,Alternative antibiotic treatment for scrub typhus infection,Take azithromycin 500 mg tablet once daily for scrub typhus treatment. Complete full course of treatment as prescribed<br> rest and maintain hydration.
1437, Ceftriaxone (1 g injection),Scrub Typhus,Intravenous antibiotic therapy for severe scrub typhus cases,Administer ceftriaxone 1 g injection daily for severe scrub typhus cases. Monitor for clinical improvement and complications<br> seek immediate medical attention for worsening symptoms.
1438, Doxycycline (100 mg capsule),Scrub Typhus,Antibiotic treatment for scrub typhus infection,Take doxycycline 100 mg capsule twice daily for scrub typhus treatment. Complete full course of treatment as prescribed<br> use insect repellent to prevent further bites.
1439, Azithromycin (500 mg tablet),Scrub Typhus,Alternative antibiotic treatment for scrub typhus infection,Take azithromycin 500 mg tablet once daily for scrub typhus treatment. Complete full course of treatment as prescribed<br> rest and maintain hydration.
1440, Ceftriaxone (1 g injection),Scrub Typhus,Intravenous antibiotic therapy for severe scrub typhus cases,Administer ceftriaxone 1 g injection daily for severe scrub typhus cases. Monitor for clinical improvement and complications<br> seek immediate medical attention for worsening symptoms.
1441, Hydrocortisone Cream (1%),Seborrheic Dermatitis,Corticosteroid cream for seborrheic dermatitis,Apply hydrocortisone cream (1%) to affected scalp areas twice daily for seborrheic dermatitis management<br> taper dosage based on clinical response.
1442, Ketoconazole Cream (2%),Seborrheic Dermatitis,Antifungal cream for seborrheic dermatitis,Apply ketoconazole cream (2%) to affected scalp areas twice daily for seborrheic dermatitis control<br> maintain good scalp hygiene.
1443, Tar-Based Gel,Seborrheic Dermatitis,Anti-inflammatory gel for seborrheic dermatitis,Apply tar-based gel to affected scalp areas twice daily for seborrheic dermatitis management<br> avoid contact with eyes and mucous membranes.
1444, Hydrocortisone Cream (1%),Seborrheic Dermatitis,Corticosteroid cream for seborrheic dermatitis,Apply hydrocortisone cream (1%) to affected scalp areas twice daily for seborrheic dermatitis management. Taper dosage based on clinical response<br> avoid contact with eyes.
1445, Ketoconazole Cream (2%),Seborrheic Dermatitis,Antifungal cream for seborrheic dermatitis,Apply ketoconazole cream (2%) to affected scalp areas twice daily for seborrheic dermatitis control. Maintain good scalp hygiene<br> avoid excessive heat and humidity.
1446, Tar-Based Gel,Seborrheic Dermatitis,Anti-inflammatory gel for seborrheic dermatitis,Apply tar-based gel to affected scalp areas twice daily for seborrheic dermatitis management. Avoid contact with eyes and mucous membranes<br> protect scalp from cold weather.
1447, Calcitriol (0.5 mcg),Secondary Hyperparathyroidism (Due to CKD),Active form of vitamin D for secondary hyperparathyroidism,Take calcitriol 0.5 mcg daily for secondary hyperparathyroidism due to chronic kidney disease (CKD)<br> monitor calcium and phosphorus levels<br> maintain adequate dietary intake.
1448, Paricalcitol (1 mcg),Secondary Hyperparathyroidism (Due to CKD),Selective vitamin D receptor activator for secondary hyperparathyroidism,Take paricalcitol 1 mcg daily for secondary hyperparathyroidism due to chronic kidney disease (CKD)<br> monitor calcium and phosphorus levels<br> maintain adequate dietary intake.
1449, Cinacalcet (30 mg),Secondary Hyperparathyroidism (Due to CKD),Calcimimetic agent for secondary hyperparathyroidism,Take cinacalcet 30 mg daily for secondary hyperparathyroidism due to chronic kidney disease (CKD)<br> monitor calcium and phosphorus levels<br> maintain adequate dietary intake.
1450, IV Fluids,Severe Dengue,Fluid replacement therapy for dengue shock syndrome,Administer IV fluids for fluid replacement and hemodynamic stability in severe dengue cases. Monitor for signs of shock and organ dysfunction<br> seek immediate medical attention.
1451, Blood Component Therapy,Severe Dengue,Blood component therapy for severe dengue cases with hemorrhage,Administer blood component therapy for severe dengue cases with hemorrhagic manifestations. Monitor for bleeding and clotting abnormalities<br> follow physician's guidance.
1452, Oxygen Therapy,Severe Dengue,Oxygen therapy for respiratory support in severe dengue cases,Provide oxygen therapy for respiratory support in severe dengue cases. Monitor oxygen saturation and respiratory parameters<br> seek immediate medical attention for respiratory distress.
1453, Steroid Therapy,Severe Dengue,Steroid therapy for severe dengue cases with shock or organ failure,Administer steroid therapy for severe dengue cases with shock or organ failure. Taper dosage based on clinical response<br> monitor for complications.
